iter,trialnum,rand,scenario
1,10,0.5714285714285714,1
2,10,0.6734693877551021,1
3,10,0.9216326530612244,1
4,10,0.8497959183673469,1
5,10,0.8163265306122449,1
6,10,0.9216326530612244,1
7,10,0.6987755102040816,1
8,10,0.8163265306122449,1
9,10,0.6734693877551021,1
10,10,0.8497959183673469,1
11,10,0.7542857142857142,1
12,10,0.5559183673469388,1
13,10,0.9216326530612244,1
14,10,0.8497959183673469,1
15,10,0.8848979591836734,1
16,10,1,1
17,10,0.6987755102040816,1
18,10,0.8163265306122449,1
19,10,0.8848979591836734,1
20,10,0.6277551020408163,1
21,10,0.6734693877551021,1
22,10,0.7542857142857142,1
23,10,0.8497959183673469,1
24,10,0.8163265306122449,1
25,10,0.649795918367347,1
26,10,0.9216326530612244,1
27,10,0.8163265306122449,1
28,10,0.9216326530612244,1
29,10,0.6734693877551021,1
30,10,0.8163265306122449,1
31,10,0.9216326530612244,1
32,10,0.9216326530612244,1
33,10,0.9216326530612244,1
34,10,0.8848979591836734,1
35,10,0.7257142857142858,1
36,10,0.649795918367347,1
37,10,0.5714285714285714,1
38,10,0.6277551020408163,1
39,10,0.8163265306122449,1
40,10,0.7257142857142858,1
41,10,0.7844897959183673,1
42,10,0.5714285714285714,1
43,10,0.9216326530612244,1
44,10,0.8848979591836734,1
45,10,0.6073469387755102,1
46,10,0.9216326530612244,1
47,10,0.5714285714285714,1
48,10,0.96,1
49,10,0.649795918367347,1
50,10,0.6734693877551021,1
51,10,0.649795918367347,1
52,10,0.9216326530612244,1
53,10,0.8848979591836734,1
54,10,0.9216326530612244,1
55,10,0.7844897959183673,1
56,10,0.5420408163265307,1
57,10,0.8497959183673469,1
58,10,0.6277551020408163,1
59,10,0.7257142857142858,1
60,10,0.96,1
61,10,0.649795918367347,1
62,10,0.6277551020408163,1
63,10,0.8848979591836734,1
64,10,0.9216326530612244,1
65,10,0.4971428571428571,1
66,10,0.649795918367347,1
67,10,0.8848979591836734,1
68,10,0.8163265306122449,1
69,10,0.6734693877551021,1
70,10,0.7542857142857142,1
71,10,0.7542857142857142,1
72,10,0.96,1
73,10,0.7844897959183673,1
74,10,0.6073469387755102,1
75,10,0.5559183673469388,1
76,10,0.5714285714285714,1
77,10,0.8163265306122449,1
78,10,0.96,1
79,10,0.6073469387755102,1
80,10,0.6073469387755102,1
81,10,0.8848979591836734,1
82,10,0.8848979591836734,1
83,10,0.96,1
84,10,0.5885714285714285,1
85,10,1,1
86,10,0.5102040816326531,1
87,10,0.6987755102040816,1
88,10,0.7542857142857142,1
89,10,0.6734693877551021,1
90,10,0.7844897959183673,1
91,10,0.8163265306122449,1
92,10,0.7542857142857142,1
93,10,0.5191836734693878,1
94,10,0.6734693877551021,1
95,10,0.5885714285714285,1
96,10,0.6987755102040816,1
97,10,0.8497959183673469,1
98,10,0.8497959183673469,1
99,10,0.7844897959183673,1
100,10,0.96,1
