iter,trialnum,rand,scenario
1,20,0.6987755102040816,2
2,20,0.8163265306122449,2
3,20,0.96,2
4,20,0.8848979591836734,2
5,20,0.8848979591836734,2
6,20,0.5559183673469388,2
7,20,0.9216326530612244,2
8,20,0.8497959183673469,2
9,20,0.5420408163265307,2
10,20,0.6987755102040816,2
11,20,0.8163265306122449,2
12,20,0.96,2
13,20,0.96,2
14,20,1,2
15,20,0.5191836734693878,2
16,20,0.7542857142857142,2
17,20,0.8848979591836734,2
18,20,0.8848979591836734,2
19,20,1,2
20,20,0.6734693877551021,2
21,20,0.96,2
22,20,0.8163265306122449,2
23,20,0.4897959183673469,2
24,20,0.9216326530612244,2
25,20,0.6734693877551021,2
26,20,0.7257142857142858,2
27,20,0.7844897959183673,2
28,20,0.8848979591836734,2
29,20,0.9216326530612244,2
30,20,0.8848979591836734,2
31,20,0.8163265306122449,2
32,20,0.6987755102040816,2
33,20,0.8848979591836734,2
34,20,0.8497959183673469,2
35,20,0.6987755102040816,2
36,20,0.8163265306122449,2
37,20,0.8163265306122449,2
38,20,1,2
39,20,0.8848979591836734,2
40,20,0.5191836734693878,2
41,20,0.5420408163265307,2
42,20,0.8848979591836734,2
43,20,0.49306122448979595,2
44,20,0.7542857142857142,2
45,20,0.8848979591836734,2
46,20,0.8497959183673469,2
47,20,0.7542857142857142,2
48,20,0.8848979591836734,2
49,20,0.7844897959183673,2
50,20,0.8848979591836734,2
51,20,0.96,2
52,20,0.8497959183673469,2
53,20,0.8848979591836734,2
54,20,0.8848979591836734,2
55,20,0.9216326530612244,2
56,20,0.8497959183673469,2
57,20,0.8497959183673469,2
58,20,0.96,2
59,20,0.6987755102040816,2
60,20,0.8848979591836734,2
61,20,0.8848979591836734,2
62,20,0.7844897959183673,2
63,20,1,2
64,20,0.8848979591836734,2
65,20,0.7542857142857142,2
66,20,0.8497959183673469,2
67,20,0.5559183673469388,2
68,20,0.7844897959183673,2
69,20,0.7257142857142858,2
70,20,0.8163265306122449,2
71,20,0.8497959183673469,2
72,20,0.6987755102040816,2
73,20,0.8848979591836734,2
74,20,0.529795918367347,2
75,20,0.8497959183673469,2
76,20,0.8848979591836734,2
77,20,0.8163265306122449,2
78,20,0.9216326530612244,2
79,20,0.6987755102040816,2
80,20,0.8848979591836734,2
81,20,0.7844897959183673,2
82,20,0.649795918367347,2
83,20,0.6987755102040816,2
84,20,0.8497959183673469,2
85,20,0.649795918367347,2
86,20,0.5028571428571429,2
87,20,0.8848979591836734,2
88,20,0.7257142857142858,2
89,20,0.9216326530612244,2
90,20,0.7844897959183673,2
91,20,0.7844897959183673,2
92,20,0.4971428571428571,2
93,20,0.8848979591836734,2
94,20,0.8497959183673469,2
95,20,0.7257142857142858,2
96,20,0.7257142857142858,2
97,20,0.7257142857142858,2
98,20,0.7844897959183673,2
99,20,0.8497959183673469,2
100,20,1,2
