iter,trialnum,rand,scenario
1,80,0.4971428571428571,2
2,80,0.49306122448979595,2
3,80,0.5028571428571429,2
4,80,0.529795918367347,2
5,80,0.5191836734693878,2
6,80,0.49306122448979595,2
7,80,0.4897959183673469,2
8,80,0.4897959183673469,2
9,80,0.49306122448979595,2
10,80,0.4971428571428571,2
11,80,0.4906122448979592,2
12,80,0.4971428571428571,2
13,80,0.49306122448979595,2
14,80,0.5028571428571429,2
15,80,0.4906122448979592,2
16,80,0.5102040816326531,2
17,80,0.4971428571428571,2
18,80,0.4906122448979592,2
19,80,0.5102040816326531,2
20,80,0.4897959183673469,2
21,80,0.4971428571428571,2
22,80,0.4971428571428571,2
23,80,0.5028571428571429,2
24,80,0.4971428571428571,2
25,80,0.4971428571428571,2
26,80,0.49306122448979595,2
27,80,0.49306122448979595,2
28,80,0.4906122448979592,2
29,80,0.4971428571428571,2
30,80,0.4971428571428571,2
31,80,0.49306122448979595,2
32,80,0.49306122448979595,2
33,80,0.5028571428571429,2
34,80,0.4906122448979592,2
35,80,0.4906122448979592,2
36,80,0.4906122448979592,2
37,80,0.5102040816326531,2
38,80,0.4906122448979592,2
39,80,0.4906122448979592,2
40,80,0.4906122448979592,2
41,80,0.4897959183673469,2
42,80,0.4906122448979592,2
43,80,0.5028571428571429,2
44,80,0.5028571428571429,2
45,80,0.4906122448979592,2
46,80,0.5028571428571429,2
47,80,0.4971428571428571,2
48,80,0.4906122448979592,2
49,80,0.4897959183673469,2
50,80,0.4897959183673469,2
51,80,0.5420408163265307,2
52,80,0.529795918367347,2
53,80,0.4906122448979592,2
54,80,0.4897959183673469,2
55,80,0.4897959183673469,2
56,80,0.5102040816326531,2
57,80,0.49306122448979595,2
58,80,0.4906122448979592,2
59,80,0.49306122448979595,2
60,80,0.4906122448979592,2
61,80,0.4906122448979592,2
62,80,0.529795918367347,2
63,80,0.4906122448979592,2
64,80,0.4906122448979592,2
65,80,0.49306122448979595,2
66,80,0.4906122448979592,2
67,80,0.5028571428571429,2
68,80,0.4906122448979592,2
69,80,0.4897959183673469,2
70,80,0.5191836734693878,2
71,80,0.49306122448979595,2
72,80,0.5028571428571429,2
73,80,0.4971428571428571,2
74,80,0.4906122448979592,2
75,80,0.4971428571428571,2
76,80,0.4971428571428571,2
77,80,0.5102040816326531,2
78,80,0.4971428571428571,2
79,80,0.4906122448979592,2
80,80,0.5028571428571429,2
81,80,0.4897959183673469,2
82,80,0.5102040816326531,2
83,80,0.5028571428571429,2
84,80,0.5191836734693878,2
85,80,0.4897959183673469,2
86,80,0.4897959183673469,2
87,80,0.4906122448979592,2
88,80,0.4971428571428571,2
89,80,0.49306122448979595,2
90,80,0.529795918367347,2
91,80,0.49306122448979595,2
92,80,0.5028571428571429,2
93,80,0.4971428571428571,2
94,80,0.5191836734693878,2
95,80,0.5102040816326531,2
96,80,0.4971428571428571,2
97,80,0.4906122448979592,2
98,80,0.4906122448979592,2
99,80,0.4971428571428571,2
100,80,0.4971428571428571,2
