iter,trialnum,rand,scenario
1,40,1,1
2,40,1,1
3,40,1,1
4,40,1,1
5,40,1,1
6,40,1,1
7,40,1,1
8,40,1,1
9,40,1,1
10,40,1,1
11,40,1,1
12,40,1,1
13,40,1,1
14,40,1,1
15,40,1,1
16,40,1,1
17,40,1,1
18,40,1,1
19,40,1,1
20,40,1,1
21,40,1,1
22,40,1,1
23,40,1,1
24,40,1,1
25,40,1,1
26,40,1,1
27,40,1,1
28,40,1,1
29,40,1,1
30,40,1,1
31,40,1,1
32,40,1,1
33,40,1,1
34,40,1,1
35,40,1,1
36,40,1,1
37,40,1,1
38,40,1,1
39,40,1,1
40,40,1,1
41,40,1,1
42,40,1,1
43,40,1,1
44,40,1,1
45,40,1,1
46,40,1,1
47,40,1,1
48,40,1,1
49,40,0.96,1
50,40,1,1
51,40,1,1
52,40,1,1
53,40,1,1
54,40,1,1
55,40,1,1
56,40,1,1
57,40,1,1
58,40,1,1
59,40,1,1
60,40,1,1
61,40,1,1
62,40,1,1
63,40,1,1
64,40,1,1
65,40,1,1
66,40,0.96,1
67,40,0.96,1
68,40,1,1
69,40,1,1
70,40,0.96,1
71,40,1,1
72,40,1,1
73,40,1,1
74,40,1,1
75,40,1,1
76,40,1,1
77,40,1,1
78,40,0.96,1
79,40,1,1
80,40,1,1
81,40,1,1
82,40,1,1
83,40,1,1
84,40,1,1
85,40,1,1
86,40,1,1
87,40,1,1
88,40,1,1
89,40,1,1
90,40,1,1
91,40,1,1
92,40,1,1
93,40,1,1
94,40,1,1
95,40,1,1
96,40,1,1
97,40,1,1
98,40,1,1
99,40,1,1
100,40,1,1
