iter,trialnum,rand,scenario
1,40,1,2
2,40,0.96,2
3,40,0.5885714285714285,2
4,40,0.8497959183673469,2
5,40,1,2
6,40,1,2
7,40,1,2
8,40,1,2
9,40,0.96,2
10,40,1,2
11,40,0.96,2
12,40,1,2
13,40,1,2
14,40,0.96,2
15,40,0.96,2
16,40,1,2
17,40,1,2
18,40,1,2
19,40,0.9216326530612244,2
20,40,0.96,2
21,40,0.96,2
22,40,0.96,2
23,40,1,2
24,40,1,2
25,40,1,2
26,40,0.96,2
27,40,0.9216326530612244,2
28,40,0.9216326530612244,2
29,40,1,2
30,40,0.8848979591836734,2
31,40,1,2
32,40,0.96,2
33,40,0.9216326530612244,2
34,40,1,2
35,40,1,2
36,40,1,2
37,40,0.96,2
38,40,1,2
39,40,0.96,2
40,40,0.96,2
41,40,0.96,2
42,40,0.96,2
43,40,1,2
44,40,1,2
45,40,0.96,2
46,40,0.96,2
47,40,0.96,2
48,40,1,2
49,40,1,2
50,40,0.96,2
51,40,1,2
52,40,1,2
53,40,1,2
54,40,0.96,2
55,40,0.96,2
56,40,1,2
57,40,0.9216326530612244,2
58,40,1,2
59,40,0.9216326530612244,2
60,40,0.96,2
61,40,1,2
62,40,0.96,2
63,40,0.7542857142857142,2
64,40,1,2
65,40,1,2
66,40,1,2
67,40,1,2
68,40,1,2
69,40,0.9216326530612244,2
70,40,1,2
71,40,0.96,2
72,40,1,2
73,40,1,2
74,40,1,2
75,40,1,2
76,40,1,2
77,40,1,2
78,40,1,2
79,40,1,2
80,40,1,2
81,40,1,2
82,40,1,2
83,40,1,2
84,40,1,2
85,40,0.8848979591836734,2
86,40,0.9216326530612244,2
87,40,1,2
88,40,1,2
89,40,0.9216326530612244,2
90,40,1,2
91,40,0.96,2
92,40,0.9216326530612244,2
93,40,1,2
94,40,1,2
95,40,0.96,2
96,40,0.96,2
97,40,1,2
98,40,0.96,2
99,40,0.96,2
100,40,0.9216326530612244,2
